"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"m2","zix",1,"i","modal","H",126,12.33475,4.25425,-2.4915,-10.4025,-14.7265,1.37025,8.08075,6.74575,22.7375,27.06125,10.96475,12.15,12.94075,17.352,-0.391206626013069,23.45,41.01125,42.9555,42.59675,0,0.033,117.924,307.12975,1926.0055
"m2","zix",2,"i","modal","H",91,10.0425,0.64175,-4.055,-14.81125,-19.67275,4.157,9.4005,4.697,24.8535,29.71525,5.8855,9.88775,14.747,14.748,-0.652182287291088,16.29675,35.95425,38.65325,41.01975,0,0.0315,113.37425,290.7005,1917.9275
"m2","zix",3,"i","modal","H",96,12.076,3.6555,-7.69425,-3.0935,-17.141,-16.5155,8.4205,11.34975,15.1695,29.217,28.59125,13.42425,4.08625,17.918,-0.444301105281099,28.875,46.447,46.47525,45.68925,0,0.04825,106.15175,304.107,1912.40225
"m3","blli7in",1,"i","rearticulated","F",205,1.55325,-1.33275,2.9545,-2.427,-11.61775,-16.6205,2.8855,-4.28725,3.98025,13.17075,18.1735,18.01175,16.00975,19.403,-0.371866612458917,26.0465,38.17925,42.142,43.13725,0.46925,0.05475,163.47175,330.30975,2152.89875
"m3","blli7in",2,"i","rearticulated","F",209,0.782,1.3355,4.666,1.00625,-15.03625,-11.866,-0.55325,-3.33075,-0.22425,15.81825,12.648,22.687,11.89325,22.2855,-0.20394629959746,37.388,48.9425,51.7715,50.24525,0.3275,0.046,158.47925,321.94875,2075.37175
"m3","blli7in",3,"i","rearticulated","F",153,2.44825,0.54675,2.94875,-2.4075,-17.38975,-15.9775,1.9015,-2.40125,4.85575,19.83775,18.4255,17.91225,17.761,18.54625,-0.488450840254935,24.2875,39.599,44.126,43.65525,0.6725,0.044,146.92475,318.853,2151.29975
"m3","bxhidw",1,"i","modal","M",135,0.8615,2.0565,3.0935,0.79875,-8.76525,-14.629,-1.195,-1.03725,0.06225,9.6265,15.49025,19.97075,12.7,20.15775,-0.147215131319452,28.699,42.6555,41.91075,42.76575,0.27325,0.04075,159.136,325.3965,2105.838
"m3","bxhidw",2,"i","modal","M",112,-0.15075,-0.50375,0.316,-2.076,-15.3325,-18.6025,0.353,-0.81975,1.9255,15.182,18.45175,22.947,9.821,18.21725,-0.392009141452825,23.81425,38.37875,39.5945,41.43225,0.3355,0.0295,155.24775,321.96525,2031.77575
"m3","bxhidw",3,"i","modal","M",81,0.044,-2.13625,-1.6015,-7.652,-16.5215,-23.03175,2.18025,-0.5345,7.696,16.56575,23.07625,23.12125,10.6835,18.38925,-0.813891620186795,23.23675,35.928,38.54975,42.19225,0.5405,0.033,148.393,320.5915,1989.29675
"m3","bxhillu7",1,"i","modal","H",127,5.998,0.15475,2.7515,0.091,-0.33625,-9.27925,5.8435,-2.597,5.90725,6.33425,15.2775,19.12625,14.1965,20.97525,-0.370335607999446,28.7765,44.33875,41.64325,40.826,0.556,0.046,143.9735,290.06725,2178.60575
